name,latitude,longitude
실내체육관 사거리,37.23670596388539,127.2139515448995
종합운동장 후문,37.23792134918594,127.2107543930376
고림동 고속도로 밑,37.25236920952723,127.21963455705376
고림동 보평마을입구 (풍뎅이쪽,37.2536341619427,127.2201792855821
주북삼거리,37.25115534303296,127.23360786659495
피렌체APT 앞,37.2490787054546,127.22768964333812
유림동 인정프린스,37.265695452110584,127.21480860515113
포곡읍사무소앞,37.278339042942214,127.23050646637072
포곡 도사마을 앞,37.29603528269467,127.23401162204027
초부리 자연휴양림입구,37.31281212037524,127.24095338465064
갈담리 갈월입구,37.32392776018066,127.24465568219293
모현 외대사거리,37.33754430420769,127.25017001772765
포곡농협주유소건너편,37.2775141569354,127.22899020601348
포곡중학교사거리,37.279961553559275,127.22311722063249
마성1교차로,37.277677064171755,127.19527666760191
마성2리 마을회관(동백터널앞,37.280844170539595,127.18835288428745
수포교(성웅APT입구,37.26633800996667,127.21199477256955
용인IC입구 사거리-1,37.26242962523426,127.21263128033074
용인IC입구 사거리-2,37.261899032824225,127.21274891086425
삼군사 사거리,37.246893043702286,127.1897054048994
세브란스병원 위,37.238836089863604,127.18647049817143
등기소옆 (구,37.23723882785562,127.18513675396912
용인대학교 건너편,37.238299899999,127.17921992135923
백설웨딩홀옆 우측,37.237201325913695,127.1831785745244
등기소옆 SK주유소 건너편,37.23691081405853,127.18458092763912
명지대입구(신성APT옆,37.235828922315974,127.189266345698
용인삼거리 (통일공원건너편,37.23425683637825,127.19604361464219
문예회관 입구,37.23339526167109,127.19804444870647
남동사거리 (명지대후문쪽,37.227216617764355,127.21093024156245
남동 대촌입구건너편,37.21960810550978,127.20919366144868
남사면 농협앞,37.11298262722413,127.1507034906323
남사면 남곡사거리,37.13908576475164,127.16793882905955
이동면 사계절낚시터 입구,37.13479480262722,127.2010143603431
이동면 송전삼거리(이동농협,37.13975976803939,127.19691375845515
이동면 송전리다리쪽,37.14280208013767,127.19887166796248
이동면 용천초등학교앞,37.19101720662096,127.20696921875226
양지 송문리 입구,37.225603498040236,127.25356041690051
양지 큰사거리 (IC방면,37.23320945457488,127.28664337233692
양지 우리소앞 (죽산방향,37.22896498175575,127.30049860660516
양지 지산골프 입구,37.21560127453305,127.32071653284099
양지사거리 (마을쪽,37.23347656122826,127.28610628914821
양지 주북리 입구,37.23407002988685,127.27906535534707
원삼 사암저수지,37.193151702263506,127.30883765135417
원삼 삼거리-1,37.16043593064398,127.31598852012749
원삼 삼거리-2,37.160460514225,127.3160618003411
백암고등학교앞 다리쪽,37.164343979523785,127.37052224798026
백암교 옆,37.166109392516105,127.37359893170944
근곡사거리 백암입구,37.169104170953084,127.37039911504558
원삼면 맹리,37.19345941065007,127.3259896896197
능원초교입구사거리옆 (2주,37.34087659430538,127.17444436212327
지곡동쪽 천서리막국수 옆,37.253784658674306,127.13871105516404
지곡초교삼거리,37.254410711638826,127.13496139849337
상하동 오렌지팩토리-1,37.26025939679539,127.14188218893633
상하동 오렌지팩토리-2,37.26028646176335,127.1418540571664
동백 호수공원삼거리-1,37.27537196744443,127.14752280891532
동백 호수공원삼거리-2,37.275360655292204,127.14756225025546
동백 초당초등학교 옆,37.2623181958973,127.1612987011337
동백 성산마을 에이스프라자앞-1,37.271590086907736,127.1526679670063
동백 성산마을 에이스프라자앞-2,37.271592226788535,127.15275535024055
동백동 주민센터-1,37.272706894197235,127.1512890511269
청덕초등학교건너(육교옆,37.29449068713357,127.15035428740026
청덕5단지 일월프라자건너편,37.29677028636779,127.15213518127565
물푸레5단지입구삼거리(구두수선,37.29650946537352,127.14999457644244
청덕중학교앞(물푸레마을,37.29253847915966,127.14612685712689
동백E마트 굿모닝힐APT,37.27987822891647,127.15202224429917
강남마을8단지 삼거리,37.27289420502488,127.13616133705184
지석초교입구 사거리,37.272072899179186,127.13733807168312
강남마을 지석역건너편,37.26978217986113,127.13522841102936
강남마을 자연앤APT 대로변-1,37.26854741437414,127.13153106838747
강남마을 자연앤APT 대로변-2,37.2685497608843,127.13144651561157
구갈 희망누리도서관,37.272248255804655,127.12965461476685
기흥도서관-1 (신갈역,37.2858329153457,127.11256783096827
기흥도서관-2 (신갈역,37.28587838455676,127.1126236793644
용인면허시험장 새천년주공-1,37.28880536002489,127.10903997511836
마북동 교동마을,37.30288651423046,127.12264348703591
마북삼거리 (구성한전,37.296161475283384,127.10996414014474
연원마을사거리-1,37.30130314240419,127.10612261990526
연원마을사거리-2,37.30126708583533,127.106139487942
용인면허시험장-철거됨-1,37.287963155155744,127.10875119258809
용인면허시험장-철거됨-2,37.28796987925369,127.10878785299297
신갈청소년문화의집-1,37.28370812385128,127.11104547774731
신갈청소년문화의집-2,37.283651811653826,127.11104257588197
기흥고등학교 앞,37.282643239572415,127.10796828811239
구갈초등학교 앞,37.27774520883933,127.11135243508971
동부아파트 벽면-1,37.27649080829603,127.115739549996
동부아파트 벽면-2,37.27644125945014,127.1157310175664
상갈교 다리,37.26844065609107,127.10540284801574
상갈중학교앞,37.26620566528036,127.10835067645843
금화마을 대우APT,37.26405632739359,127.10873653570553
금강산화로구이 건너편-1 (민속촌,37.257831903922415,127.10425516303415
금강산화로구이 건너편-2 (민속촌,37.25781164041123,127.10424386245766
보라횡단교삼거리(영통쪽,37.249114149515464,127.10505261346122
보라횡단교삼거리(영통쪽,37.24913830627681,127.1051392573675
영통성령성당 옆,37.24257726928241,127.06676857903588
서천지구 서경삼거리-2,37.243457017571245,127.07594355386362
기흥 파크랜드물류 건너-1,37.242589349581394,127.10327899931369
기흥초등학교 앞 (공세동,37.231961067610904,127.1088087505204
공세동 코스트코삼거리,37.23814146731573,127.10719056733232
한보라마을입구 삼거리(고가도로방면,37.24378390882517,127.10507264845327
한일초교입구 삼거리,37.24407336863758,127.10633535788335
한보라마을 보라중건너편-1,37.25036928627458,127.10647946326135
한보라마을 보라중건너편-2,37.250348992540204,127.10650197778035
보라동 쌍용APT-1,37.255813180328765,127.11900225301806
보라동 쌍용APT-2,37.255810978695976,127.11895152397801
죽전 새터마을APT 앞,37.331595299949285,127.12302300839349
죽전 SK죽전물류센터 앞,37.329975224323924,127.12771991142551
죽전 단국대 야외음악당,37.324383567283164,127.12419592227623
죽전 중앙공원입구,37.320362203304995,127.11580961130957
죽전 엑스파크공원옆 (이마트쪽,37.321889211179126,127.11136958311653
죽현교차로삼거리(죽전신세계뒤,37.32056220742538,127.10836898375822
죽현교차로삼거리(죽전신세계뒤,37.320490048485226,127.10835855462892
죽전 삼성휴먼센터쪽-1,37.3146056635552,127.10997125885286
죽전 삼성휴먼센터쪽-2,37.314648504537914,127.10992619673658
풍덕천사거리(굴다리,37.32464201028909,127.1037776182686
풍덕 육교옆-1,37.326771261459996,127.10313459800522
풍덕 육교옆-2 ,37.32709339483041,127.10311811380251
신나라삼거리(KT,37.333220439867624,127.10308417342828
알뜰시장 앞 ,37.32612818226301,127.09641760385341
우성빌라 삼거리-1 ,37.33103747779133,127.09803460870627
우성빌라 삼거리-2,37.331066756611655,127.09804028854398
한국통신버스정류장-1,37.333382808837264,127.10024930721307
한국통신버스정류장-2,37.3333851068145,127.10019571158436
삼익APT (물류센터,37.33345450361719,127.09802364460684
삼익APT (물류센터,37.33377662192274,127.09802406315513
한국도자기 사거리,37.335977380765144,127.09803538615715
동천동 현대APT 앞 ,37.337716407878375,127.09798968686961
수지고등학교 삼거리,37.3300303945257,127.09266802831421
수지중학교 삼거리,37.33305025988607,127.09373806462027
풍림APT 측면 (우성빌라삼거리,37.33077893708321,127.09742214052626
수지성당앞 육교옆,37.32408913664484,127.08835080053276
신봉동 대광교회 앞 ,37.321943808054726,127.08007841911743
신봉동 엘지빌리지 5차-1 ,37.32398214091473,127.07500109701786
신봉동 엘지빌리지 5차-2,37.32395564260536,127.0750691146462
태영APT (이마트근처,37.31505664854966,127.08155741022742
수지 이마트-1,37.318632263457715,127.08369069983247
수지 이마트-2,37.31866376169598,127.08374432299027
토월초등학교 앞 ,37.32521568255102,127.0909866327944
수지로얄스포츠센타 뒷편,37.32362229308559,127.0948912682797
신월초등학교,37.321918321697055,127.09334064126581
수지우체국옆,37.32086369449513,127.0966675450665
정평중 정문앞 ,37.318473444060594,127.08835550866475
풍덕고(열병합,37.31671755052353,127.08985670553745
상현지하차도-2 (버스정류장,37.310915307383354,127.0831209365514
두산연구소 사거리-1 ,37.31229991338246,127.080931168924
두산연구소 사거리-2,37.31212407659758,127.08112839367055
광교중앙로삼거리-1 (벤츠매장옆,37.300841499542294,127.06950446921772
광교중앙로삼거리-2 (벤츠매장옆,37.30086174137464,127.06955806345007
풍덕고(열병합,37.316669708788865,127.09056173826664
보정동 한화생명연수원앞-1,37.31172245047943,127.10229177605571
보정동 한화생명연수원앞-2,37.31166839503876,127.102292418836
보정동 솔뫼마을입구-1,37.30882796013967,127.10223304419925
보정동 솔뫼마을입구-2,37.30827606954575,127.10224075711848
보정동 소실마을입구-1,37.301808938463736,127.10218124547974
보정동 소실마을입구-2,37.30177966699901,127.10216710686659
흥덕마을13단지 사거리(나주집앞,37.27430537089404,127.09033620250771
흥덕 휴먼시아1단지(뒤,37.27608348643047,127.06905041708022
아모레 퍼시픽 (흥덕지구,37.269177505043736,127.06819571567655
아모레 퍼시픽 (흥덕지구,37.26923831717471,127.06820986346584
녹십자삼거리 신갈-용인방향,37.2751634749019,127.11398703754086
